Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
XOP,18.58,Put,18.00,03/06/20,17,0.27,0.29,0.31,0.29,6865,154,44.58,34.10%,"16:02 ET"
XLE,54.13,Put,49.00,07/17/20,150,1.09,1.2,1.31,1.24,4608,119,38.72,25.14%,"13:55 ET"
XLV,103.56,Put,95.00,04/17/20,59,0.37,0.49,0.60,0.56,2743,131,20.94,20.33%,"12:22 ET"
XLU,70.98,Put,70.50,02/21/20,3,0.09,0.15,0.20,0.16,3161,207,15.27,13.79%,"15:54 ET"
SPY,336.73,Call,336.00,02/19/20,1,1.18,1.19,1.21,1.25,26097,1797,14.52,11.71%,"16:29 ET"
SPY,336.73,Call,336.00,02/18/20,0,0.65,0.68,0.70,0.72,62830,5038,12.47,0.00%,"16:29 ET"
IAU,15.32,Call,16.00,03/20/20,31,0.05,0.08,0.10,0.10,3940,331,11.9,18.05%,"12:14 ET"
GDXJ,42.66,Put,40.00,02/28/20,10,0.08,0.08,0.09,0.11,2092,206,10.16,31.50%,"13:49 ET"
GDX,29.23,Put,25.00,09/18/20,213,0.51,0.54,0.56,0.56,2431,256,9.5,25.48%,"13:38 ET"
TLT,145.54,Put,145.00,02/28/20,10,0.91,0.93,0.94,0.94,3245,358,9.06,12.78%,"16:06 ET"
XLU,70.98,Put,68.00,03/13/20,24,0.02,0.08,0.14,0.10,1775,222,8,13.02%,"16:11 ET"
QQQ,234.73,Put,190.00,05/15/20,87,0.83,0.84,0.85,0.87,1106,148,7.47,29.38%,"14:17 ET"
EWJ,57.58,Call,60.00,03/20/20,31,0.10,0.13,0.15,0.13,5135,712,7.21,11.91%,02/18/20
SPY,336.73,Put,336.00,02/19/20,1,0.52,0.53,0.53,0.49,29672,4324,6.86,11.53%,"16:29 ET"
GLD,150.91,Call,152.50,02/21/20,3,0.31,0.32,0.33,0.33,7033,1074,6.55,16.50%,"16:08 ET"
XLU,70.98,Put,71.00,03/20/20,31,0.79,0.89,0.98,0.91,1041,169,6.16,11.65%,"14:38 ET"
SPY,336.73,Call,337.00,02/19/20,1,0.59,0.6,0.60,0.57,33365,5730,5.82,9.79%,"16:29 ET"
VXX,13.76,Call,13.50,02/28/20,10,0.83,0.85,0.86,0.82,3551,624,5.69,75.39%,"16:20 ET"
XOP,18.58,Call,20.00,03/27/20,38,0.27,0.28,0.29,0.25,720,128,5.63,30.05%,"13:13 ET"
SPY,336.73,Call,357.00,06/19/20,122,1.86,1.88,1.90,1.84,2860,523,5.47,9.65%,"16:06 ET"
SPY,336.73,Put,300.00,04/03/20,45,0.80,0.81,0.82,0.83,2237,423,5.29,23.06%,"15:57 ET"
EWZ,43.32,Put,39.00,04/17/20,59,0.44,0.46,0.48,0.49,1005,194,5.18,29.82%,02/18/20
SPY,336.73,Call,321.00,03/06/20,17,16.68,16.72,16.76,16.96,1400,273,5.13,20.10%,"15:01 ET"
XLV,103.56,Call,103.00,03/20/20,31,1.53,2.25,2.96,2.17,3287,660,4.98,14.81%,"14:40 ET"
SPY,336.73,Put,335.00,02/19/20,1,0.29,0.3,0.30,0.30,30633,6350,4.82,13.15%,"16:29 ET"
VXX,13.76,Put,13.50,02/28/20,10,0.51,0.52,0.53,0.53,24643,5233,4.71,72.85%,"16:29 ET"
RSX,24.65,Call,25.00,03/20/20,31,0.44,0.46,0.48,0.48,1923,413,4.66,21.56%,"15:28 ET"
SPY,336.73,Put,290.00,03/13/20,24,0.17,0.18,0.18,0.17,2081,448,4.65,28.67%,"14:45 ET"
