Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,"Last Trade"
$SPX,3386.15,Put,3390.00,02/19/20,0,1.00,2.45,3.90,3.60,3150,185,17.03,0.00%,"16:14 ET"
$SPX,3386.15,Put,3390.00,03/20/20,30,44.60,44.9,45.20,44.00,4404,481,9.16,11.59%,"16:46 ET"
$SPX,3386.15,Put,2240.00,03/20/20,30,0.15,0.22,0.30,0.25,828,100,8.28,50.65%,"09:45 ET"
$SPX,3386.15,Put,2290.00,03/20/20,30,0.20,0.28,0.35,0.30,812,113,7.19,48.99%,"09:45 ET"
$SPX,3386.15,Put,3085.00,03/20/20,30,5.20,5.35,5.50,5.47,3490,500,6.98,21.61%,"11:30 ET"
$SPX,3386.15,Put,3395.00,02/19/20,0,5.10,8.85,12.60,8.10,1628,292,5.58,0.00%,"16:14 ET"
$SPX,3386.15,Put,2950.00,03/18/20,28,2.35,2.45,2.55,2.52,825,154,5.36,26.42%,"11:30 ET"
$SPX,3386.15,Put,3350.00,02/26/20,7,7.00,7.2,7.40,7.50,4935,1035,4.77,11.37%,"16:14 ET"
$SPX,3386.15,Call,3510.00,05/15/20,86,24.10,24.45,24.80,25.60,801,188,4.26,9.88%,"12:16 ET"
$SPX,3386.15,Put,2340.00,03/20/20,30,0.25,0.3,0.35,0.35,719,223,3.22,47.21%,"09:45 ET"
$SPX,3386.15,Call,3550.00,03/06/20,16,0.20,0.25,0.30,0.25,998,313,3.19,9.60%,"16:17 ET"
$SPX,3386.15,Put,3010.00,04/03/20,44,6.80,6.95,7.10,7.05,1728,548,3.15,22.77%,"12:58 ET"
$SPX,3386.15,Call,3540.00,03/20/20,30,1.35,1.45,1.55,1.55,853,282,3.02,8.73%,"11:59 ET"
$SPX,3386.15,Call,3385.00,02/19/20,0,1.20,1.25,1.30,1.30,6056,2159,2.81,0.00%,"16:15 ET"
$SPX,3386.15,Put,2270.00,03/20/20,30,0.20,0.25,0.30,0.30,623,245,2.54,50.00%,"09:45 ET"
$SPX,3386.15,Put,3365.00,02/21/20,2,3.70,3.8,3.90,3.50,1324,527,2.51,11.13%,"16:28 ET"
$SPX,3386.15,Put,2370.00,03/20/20,30,0.30,0.35,0.40,0.40,570,241,2.37,46.34%,"09:45 ET"
$SPX,3386.15,Put,2430.00,03/20/20,30,0.35,0.43,0.50,0.45,536,229,2.34,43.90%,"09:45 ET"
$SPX,3386.15,Put,2360.00,03/20/20,30,0.25,0.33,0.40,0.30,765,363,2.11,45.52%,"16:24 ET"
$SPX,3386.15,Put,2910.00,03/20/20,30,2.30,2.38,2.45,2.50,518,248,2.09,27.61%,"10:33 ET"
$SPX,3386.15,Put,2440.00,03/20/20,30,0.35,0.43,0.50,0.50,714,361,1.98,43.89%,"09:45 ET"
$SPX,3386.15,Put,3145.00,02/21/20,2,0.10,0.13,0.15,0.10,2512,1469,1.71,37.22%,"13:56 ET"
$VIX,14.38,Put,23.00,03/18/20,28,8.00,8.05,8.10,8.00,930,550,1.69,0.00%,"10:40 ET"
$SPX,3386.15,Call,3360.00,04/17/20,58,81.00,81.5,82.00,82.70,1593,999,1.59,11.68%,"15:55 ET"
$SPX,3386.15,Put,2410.00,03/20/20,30,0.35,0.4,0.45,0.45,734,475,1.55,44.90%,"09:45 ET"
$SPX,3386.15,Put,3305.00,02/21/20,2,0.55,0.6,0.65,0.55,960,623,1.54,17.77%,"16:29 ET"
$VIX,14.38,Call,19.00,06/17/20,119,1.75,1.8,1.85,1.85,1002,650,1.54,98.73%,"11:51 ET"
$SPX,3386.15,Call,3520.00,04/17/20,58,10.40,10.65,10.90,11.40,1790,1201,1.49,9.27%,"14:59 ET"
$SPX,3386.15,Put,2460.00,03/20/20,30,0.40,0.48,0.55,0.50,708,495,1.43,42.90%,"09:45 ET"
$SPX,3386.15,Put,3380.00,02/28/20,9,18.10,18.3,18.50,18.00,575,407,1.41,10.24%,"16:22 ET"
$SPX,3386.15,Put,3380.00,02/21/20,2,5.70,5.95,6.20,5.50,586,417,1.41,8.37%,"16:29 ET"
$SPX,3386.15,Put,2310.00,03/20/20,30,0.20,0.28,0.35,0.35,792,568,1.39,48.72%,"09:45 ET"
$SPX,3386.15,Put,3300.00,09/18/20,212,111.20,111.8,112.40,111.40,4538,3295,1.38,16.46%,"12:04 ET"
$SPX,3386.15,Call,3425.00,09/18/20,212,115.40,116.05,116.70,114.80,2000,1455,1.37,11.11%,"10:34 ET"
"Downloaded from Barchart.com as of 02-19-2020 05:05pm CST"
