Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
BB,6.09,Call,6.00,03/06/20,17,0.34,0.35,0.35,0.35,27649,381,72.57,57.67%,02/18/20
TUP,5.9,Call,5.00,03/20/20,31,1.40,1.42,1.45,1.45,5250,117,44.87,147.66%,"16:06 ET"
AMD,56.89,Put,57.50,02/21/20,3,1.23,1.25,1.26,1.21,5432,142,38.25,42.41%,"16:09 ET"
CTL,13.34,Call,13.50,02/21/20,3,0.12,0.14,0.16,0.15,30962,832,37.21,45.32%,02/18/20
TEVA,12.32,Put,10.00,04/17/20,59,0.32,0.36,0.39,0.39,16197,693,23.37,68.89%,"16:13 ET"
VOD,20.2,Call,22.00,03/20/20,31,0.10,0.12,0.13,0.12,3142,140,22.44,26.84%,"16:03 ET"
AMD,56.89,Put,57.00,02/28/20,10,1.64,1.65,1.67,1.68,2150,107,20.09,43.64%,"16:14 ET"
ROKU,127.15,Call,128.00,02/21/20,3,2.69,2.74,2.78,2.74,6408,328,19.54,68.00%,"16:15 ET"
AMD,56.89,Put,56.50,02/21/20,3,0.70,0.71,0.72,0.73,7327,384,19.08,44.67%,"16:14 ET"
DVN,22.16,Put,21.50,02/21/20,3,0.42,0.43,0.44,0.40,5545,292,18.99,86.29%,02/18/20
AMD,56.89,Call,58.50,02/21/20,3,0.36,0.37,0.38,0.36,5960,325,18.34,45.74%,"16:14 ET"
JD,42.32,Call,42.50,03/06/20,17,1.67,1.71,1.75,1.71,4945,275,17.98,48.78%,"16:10 ET"
AMD,56.89,Put,57.00,02/21/20,3,0.94,0.96,0.97,0.98,7548,424,17.8,45.10%,"16:14 ET"
M,16.07,Call,17.50,03/13/20,24,0.32,0.36,0.40,0.35,1786,111,16.09,51.37%,"14:11 ET"
ZNGA,7.09,Call,7.00,03/06/20,17,0.31,0.32,0.32,0.32,11891,792,15.01,44.37%,"16:14 ET"
AMD,56.89,Call,58.00,02/21/20,3,0.48,0.49,0.49,0.48,11278,763,14.78,44.69%,"16:14 ET"
SHOP,536.41,Call,550.00,02/28/20,10,9.60,9.8,10.00,9.90,2158,158,13.66,43.67%,"16:08 ET"
SPCE,30.3,Call,32.00,04/17/20,59,5.80,6.05,6.30,6.10,2257,172,13.12,139.55%,"16:14 ET"
AEM,49.58,Put,45.00,03/20/20,31,0.32,0.35,0.38,0.37,1378,106,13,33.31%,02/18/20
DISH,41.29,Call,41.50,02/21/20,3,1.65,1.78,1.90,1.75,1474,117,12.6,123.62%,"16:14 ET"
SPCE,30.3,Put,28.00,02/21/20,3,1.65,1.67,1.70,1.70,4427,353,12.54,256.55%,"16:14 ET"
FTI,17.13,Call,17.00,03/20/20,31,0.90,0.98,1.05,1.00,2678,216,12.4,46.36%,"14:26 ET"
SPCE,30.3,Put,30.00,02/21/20,3,2.70,2.75,2.80,2.70,15282,1276,11.98,261.98%,"16:15 ET"
CVS,72,Put,71.00,02/28/20,10,0.68,0.68,0.68,0.72,1522,132,11.53,24.72%,02/18/20
WIX,151.74,Call,155.00,03/20/20,31,6.00,6.1,6.20,6.10,2014,177,11.38,42.13%,"14:55 ET"
AMD,56.89,Call,60.50,02/21/20,3,0.11,0.11,0.12,0.12,1174,108,10.87,51.39%,"16:14 ET"
GOLD,20.58,Call,21.00,09/18/20,213,1.71,1.73,1.76,1.75,3878,359,10.8,29.22%,"16:13 ET"
MDB,176.9,Call,177.50,02/21/20,3,3.40,3.6,3.80,3.60,1132,107,10.58,60.53%,"16:14 ET"
TMUS,99.88,Call,98.00,02/21/20,3,2.12,2.4,2.67,2.35,1325,133,9.96,32.54%,"16:00 ET"
S,9.17,Call,9.50,02/28/20,10,0.23,0.27,0.31,0.31,2133,219,9.74,73.73%,"16:12 ET"
AMD,56.89,Call,56.00,02/28/20,10,2.10,2.12,2.13,2.17,1886,194,9.72,44.81%,"16:08 ET"
AMD,56.89,Put,56.00,02/28/20,10,1.17,1.18,1.19,1.19,1325,138,9.6,43.18%,"16:14 ET"
LYFT,45.1,Call,46.00,02/21/20,3,0.40,0.41,0.42,0.41,8970,944,9.5,47.11%,"16:14 ET"
PLUG,4.85,Call,5.50,02/28/20,10,0.24,0.25,0.26,0.25,3709,394,9.41,149.71%,"16:02 ET"
WFC,46.99,Call,47.00,02/28/20,10,0.57,0.59,0.60,0.59,2479,266,9.32,18.76%,"16:14 ET"
GOLD,20.58,Call,23.00,09/18/20,213,1.02,1.06,1.09,1.07,1028,115,8.94,29.81%,"16:06 ET"
KHC,27.33,Put,35.00,06/19/20,122,8.15,8.63,9.10,8.25,3400,384,8.85,46.12%,"16:09 ET"
BLDP,12.5,Put,10.00,03/20/20,31,0.30,0.43,0.55,0.40,2673,304,8.79,99.07%,"15:58 ET"
GSK,43.55,Call,44.00,03/20/20,31,0.35,0.4,0.45,0.40,2431,281,8.65,11.17%,"16:05 ET"
STMP,91.89,Call,110.00,02/21/20,3,2.00,2.4,2.80,2.60,2394,281,8.52,243.79%,"16:14 ET"
C,77.58,Call,82.50,03/06/20,17,0.11,0.12,0.13,0.14,1086,128,8.48,20.54%,02/18/20
S,9.17,Put,6.00,08/21/20,185,0.13,0.2,0.27,0.25,2184,259,8.43,59.94%,"11:44 ET"
