Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,"Last Trade"
$SPX,3379.45,Put,2310.00,04/17/20,65,0.90,1,1.10,0.90,30000,162,185.19,36.62%,02/12/20
$SPX,3379.45,Put,2220.00,04/17/20,65,0.65,0.75,0.85,0.75,3725,168,22.17,39.24%,02/12/20
$SPX,3379.45,Put,2180.00,04/17/20,65,0.60,0.68,0.75,0.60,2000,101,19.8,39.81%,02/12/20
$SPX,3379.45,Put,2230.00,04/17/20,65,0.70,0.77,0.85,0.75,1716,156,11,38.86%,02/12/20
$SPX,3379.45,Put,3180.00,03/13/20,30,9.20,9.35,9.50,9.70,1451,164,8.85,18.25%,02/12/20
$SPX,3379.45,Put,2270.00,04/17/20,65,0.80,0.88,0.95,0.85,2107,268,7.86,37.88%,02/12/20
$SPX,3379.45,Put,2425.00,04/17/20,65,1.30,1.4,1.50,1.30,2000,410,4.88,33.89%,02/12/20
$SPX,3379.45,Call,3625.00,06/19/20,128,11.50,11.7,11.90,11.50,11192,2585,4.33,9.15%,02/12/20
$SPX,3379.45,Put,2495.00,04/17/20,65,1.60,1.7,1.80,1.70,750,185,4.05,32.42%,02/12/20
$SPX,3379.45,Put,2405.00,04/17/20,65,1.20,1.3,1.40,1.25,2062,568,3.63,34.47%,02/12/20
$SPX,3379.45,Put,2170.00,04/17/20,65,0.55,0.63,0.70,0.55,1886,531,3.55,39.82%,02/12/20
$SPX,3379.45,Put,2140.00,04/17/20,65,0.50,0.58,0.65,0.55,1441,417,3.46,40.96%,02/12/20
$SPX,3379.45,Put,2870.00,03/20/20,37,2.30,2.38,2.45,2.65,768,256,3,26.81%,02/12/20
$SPX,3379.45,Put,3360.00,02/14/20,2,3.70,3.85,4.00,3.80,2084,702,2.97,11.04%,02/12/20
$SPX,3379.45,Put,2330.00,04/17/20,65,0.95,1.05,1.15,1.20,516,196,2.63,37.12%,02/12/20
$SPX,3379.45,Put,1850.00,03/31/20,48,0.05,0.1,0.15,0.15,8744,3505,2.49,54.49%,02/12/20
$SPX,3379.45,Put,3250.00,02/19/20,7,0.85,0.93,1.00,0.90,5203,2100,2.48,15.44%,02/12/20
$SPX,3379.45,Put,3085.00,03/20/20,37,6.80,6.9,7.00,7.50,1002,408,2.46,20.68%,02/12/20
$SPX,3379.45,Put,2995.00,03/20/20,37,4.20,4.3,4.40,4.70,510,209,2.44,23.21%,02/12/20
$SPX,3379.45,Put,3370.00,02/14/20,2,6.00,6.15,6.30,6.00,1638,834,1.96,10.21%,02/12/20
$SPX,3379.45,Put,3375.00,02/14/20,2,7.60,7.8,8.00,8.50,1167,649,1.8,10.77%,02/12/20
$SPX,3379.45,Call,3380.00,03/13/20,30,42.20,42.5,42.80,41.65,1451,900,1.61,10.09%,02/12/20
$SPX,3379.45,Put,2125.00,04/17/20,65,0.45,0.53,0.60,0.55,2529,1637,1.54,41.54%,02/12/20
$SPX,3379.45,Put,2325.00,04/17/20,65,0.95,1.03,1.10,1.10,726,487,1.49,36.92%,02/12/20
$SPX,3379.45,Call,3510.00,02/21/20,9,0.10,0.15,0.20,0.10,1000,791,1.26,9.49%,02/12/20
$SPX,3379.45,Put,3010.00,02/21/20,9,0.15,0.18,0.20,0.20,994,797,1.25,28.35%,02/12/20
"Downloaded from Barchart.com as of 02-12-2020 07:20pm CST"
