Date Inserted,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol-OI,IV,Time
2020-02-14,SPY,337.14,Put,316.0,2020-03-02,17.0,0.24,0.25,0.25,0.24,4018.0,209.0,19.22,18.12,16:05
2020-02-14,IYR,100.06,Put,99.0,2020-02-21,7.0,0.15,0.16,0.18,0.23,1815.0,100.0,18.15,12.14,12:57
2020-02-14,EWZ,43.85,Put,42.0,2020-02-28,14.0,0.21,0.22,0.23,0.26,4940.0,339.0,14.57,26.98,11:27
2020-02-14,QQQ,234.18,Put,236.0,2020-02-28,14.0,3.4,3.43,3.45,3.44,6799.0,508.0,13.38,13.94,16:03
2020-02-14,XBI,97.12,Put,95.0,2020-02-28,14.0,1.01,1.03,1.05,1.02,3214.0,282.0,11.4,25.52,15:58
2020-02-14,XBI,97.12,Call,101.0,2020-03-20,35.0,1.44,1.47,1.5,1.4,4755.0,442.0,10.76,23.57,13:48
2020-02-14,SPY,337.14,Put,344.0,2020-02-28,14.0,6.72,6.76,6.79,7.25,3823.0,367.0,10.42,11.03,15:48
2020-02-14,SMH,150.32,Put,145.5,2020-02-21,7.0,0.41,0.43,0.44,0.51,1028.0,100.0,10.28,25.7,15:28
2020-02-14,QQQ,234.18,Put,241.0,2020-02-21,7.0,6.79,6.85,6.9,7.1,1000.0,107.0,9.35,18.33,14:22
2020-02-14,VXX,13.58,Call,13.0,2020-02-28,14.0,0.92,0.93,0.94,0.94,6293.0,809.0,7.78,57.06,15:56
2020-02-14,XLE,54.48,Put,54.0,2020-02-28,14.0,0.57,0.58,0.59,0.65,1802.0,247.0,7.3,20.45,15:06
2020-02-14,DIA,294.07,Put,280.0,2020-03-06,21.0,0.76,0.78,0.79,0.79,1192.0,209.0,5.7,18.09,11:24
2020-02-14,SMH,150.32,Put,148.0,2020-02-21,7.0,0.87,0.9,0.92,0.9,1233.0,217.0,5.68,22.31,16:05
2020-02-14,SPY,337.14,Call,361.0,2020-04-17,63.0,0.23,0.24,0.24,0.23,735.0,138.0,5.33,9.05,12:42
2020-02-14,GLD,148.99,Put,146.5,2020-02-28,14.0,0.24,0.25,0.25,0.25,2806.0,537.0,5.23,9.47,15:30
2020-02-14,GLD,148.99,Put,146.5,2020-03-06,21.0,0.46,0.46,0.47,0.47,1978.0,407.0,4.86,10.07,15:21
2020-02-14,GLD,148.99,Put,146.0,2020-09-18,217.0,3.3,3.35,3.4,3.35,1625.0,358.0,4.54,11.99,13:57
2020-02-14,EEM,44.2,Call,44.0,2020-02-28,14.0,0.72,0.73,0.73,0.72,4748.0,1087.0,4.37,17.78,15:57
2020-02-14,QQQ,234.18,Put,224.5,2020-02-21,7.0,0.18,0.19,0.19,0.19,4530.0,1047.0,4.33,20.54,11:26
2020-02-14,VXX,13.58,Call,18.0,2020-03-06,21.0,0.17,0.18,0.19,0.18,1985.0,465.0,4.27,93.88,11:49
2020-02-14,TQQQ,114.0,Call,119.0,2020-02-28,14.0,1.63,1.66,1.69,1.63,1644.0,404.0,4.07,39.0,16:08
2020-02-14,SPY,337.14,Put,317.5,2020-02-28,14.0,0.23,0.24,0.24,0.28,8684.0,2175.0,3.99,19.36,14:44
2020-02-14,SPY,337.14,Call,336.5,2020-02-14,0.0,0.83,0.85,0.86,0.93,14780.0,3775.0,3.92,0.0,16:07
2020-02-14,QQQ,234.18,Put,232.5,2020-03-13,28.0,3.29,3.3,3.31,3.53,802.0,205.0,3.91,17.44,13:25
2020-02-14,SPY,337.14,Call,345.0,2020-03-13,28.0,1.0,1.01,1.02,0.92,4294.0,1123.0,3.82,8.94,15:32
2020-02-14,QQQ,234.18,Call,234.5,2020-02-21,7.0,1.63,1.64,1.65,1.63,5303.0,1398.0,3.79,13.34,16:03
2020-02-14,GASL,4.15,Call,5.0,2020-03-20,35.0,0.25,0.28,0.3,0.25,2536.0,684.0,3.71,101.86,15:16
2020-02-14,GLD,148.99,Put,146.0,2020-02-28,14.0,0.18,0.19,0.19,0.18,3121.0,846.0,3.69,9.56,15:35
2020-02-14,SPY,337.14,Call,338.0,2020-02-18,4.0,0.71,0.72,0.72,0.72,20652.0,5590.0,3.69,7.27,16:07
2020-02-14,SPY,337.14,Put,337.5,2020-02-14,0.0,0.24,0.25,0.26,0.19,27158.0,7412.0,3.66,0.0,16:08
2020-02-14,QQQ,234.18,Put,235.0,2020-02-14,0.0,0.75,0.78,0.82,0.75,8445.0,2424.0,3.48,0.0,16:00
2020-02-14,IWM,167.86,Put,167.5,2020-02-21,7.0,0.92,0.93,0.93,0.93,7966.0,2304.0,3.46,12.16,16:07
2020-02-14,SPY,337.14,Put,334.0,2020-06-19,126.0,9.17,9.18,9.19,9.33,5715.0,1663.0,3.44,15.22,14:56
2020-02-14,SPY,337.14,Call,337.0,2020-02-14,0.0,0.38,0.39,0.4,0.46,57307.0,17156.0,3.34,0.0,16:07
2020-02-14,XLB,60.49,Call,60.5,2020-02-21,7.0,0.41,0.43,0.45,0.48,969.0,291.0,3.33,14.61,11:13
2020-02-14,FXI,42.3,Put,41.0,2020-03-13,28.0,0.45,0.46,0.47,0.47,1901.0,579.0,3.28,22.02,13:51
2020-02-14,GLD,148.99,Put,146.0,2020-03-06,21.0,0.35,0.36,0.36,0.35,1815.0,555.0,3.27,9.91,15:37
2020-02-14,SPY,337.14,Put,307.5,2020-03-13,28.0,0.43,0.44,0.44,0.49,927.0,286.0,3.24,21.69,15:35
2020-02-14,QQQ,234.18,Call,237.0,2020-03-13,28.0,2.68,2.69,2.7,2.57,1138.0,355.0,3.21,14.04,15:35
2020-02-14,DIA,294.07,Put,283.0,2020-02-21,7.0,0.15,0.16,0.17,0.18,2167.0,718.0,3.02,17.59,15:10
2020-02-14,SPY,337.14,Put,338.0,2020-02-24,10.0,2.2,2.22,2.23,2.34,1990.0,672.0,2.96,9.17,14:53
2020-02-14,QQQ,234.18,Put,234.0,2020-03-06,21.0,3.32,3.34,3.37,3.3,1200.0,418.0,2.87,15.81,14:52
2020-02-14,SPY,337.14,Put,344.0,2020-02-21,7.0,6.59,6.67,6.75,6.89,5194.0,1813.0,2.86,11.22,15:54
2020-02-14,QQQ,234.18,Call,234.0,2020-02-14,0.0,0.26,0.28,0.29,0.29,28173.0,9909.0,2.84,0.0,16:03
2020-02-14,GDX,28.3,Put,28.0,2020-02-28,14.0,0.31,0.32,0.32,0.32,3563.0,1276.0,2.79,21.08,16:00
2020-02-14,XLRE,41.77,Call,41.0,2020-05-15,91.0,1.5,1.53,1.55,1.55,776.0,281.0,2.76,12.21,16:00
2020-02-14,QQQ,234.18,Call,243.0,2020-03-27,42.0,1.26,1.27,1.28,1.27,820.0,307.0,2.67,12.85,13:07
2020-02-14,XRT,44.81,Put,44.5,2020-02-21,7.0,0.32,0.33,0.34,0.34,2958.0,1106.0,2.67,19.72,15:50
2020-02-14,SPY,337.14,Put,317.5,2020-03-13,28.0,0.84,0.85,0.86,0.86,535.0,203.0,2.64,18.13,11:57
2020-02-14,SPY,337.14,Call,338.0,2020-02-19,5.0,0.98,0.99,1.0,1.0,7462.0,2854.0,2.61,8.28,16:07
2020-02-14,QQQ,234.18,Put,234.5,2020-02-21,7.0,1.87,1.89,1.9,1.9,2680.0,1053.0,2.55,13.9,16:01
2020-02-14,SPY,337.14,Put,337.0,2020-02-18,4.0,0.84,0.85,0.85,0.84,21126.0,8349.0,2.53,7.03,16:07
2020-02-14,SPY,337.14,Put,338.0,2020-02-18,4.0,1.3,1.31,1.32,1.29,6848.0,2771.0,2.47,6.44,16:07
2020-02-14,EWZ,43.85,Put,41.0,2020-04-17,63.0,0.77,0.79,0.8,0.8,1808.0,745.0,2.43,27.64,11:32
2020-02-14,DIA,294.07,Call,293.0,2020-02-14,0.0,1.11,1.16,1.21,0.87,549.0,236.0,2.33,0.0,15:44
2020-02-14,SPY,337.14,Put,336.0,2020-02-24,10.0,1.47,1.48,1.5,1.45,2723.0,1170.0,2.33,9.4,16:06
2020-02-14,IGV,264.04,Put,215.0,2020-08-21,189.0,2.8,3.05,3.3,3.0,1286.0,560.0,2.3,26.79,16:02
2020-02-14,EEM,44.2,Put,43.5,2020-02-28,14.0,0.32,0.33,0.33,0.34,10485.0,4552.0,2.3,18.42,14:29
2020-02-14,SPY,337.14,Call,346.0,2020-03-27,42.0,1.28,1.29,1.3,1.29,572.0,255.0,2.24,8.86,16:07
2020-02-14,EWZ,43.85,Call,43.5,2020-02-28,14.0,0.97,0.98,0.98,0.95,957.0,445.0,2.15,21.93,15:06
2020-02-14,SPY,337.14,Put,336.0,2020-02-18,4.0,0.55,0.56,0.56,0.53,28081.0,13059.0,2.15,7.55,16:08
2020-02-14,TLT,144.5,Call,147.5,2020-02-21,7.0,0.13,0.14,0.14,0.18,1049.0,494.0,2.12,13.06,14:21
2020-02-14,SPY,337.14,Put,338.0,2020-02-19,5.0,1.59,1.61,1.62,1.57,2861.0,1359.0,2.11,7.67,16:08
2020-02-14,EWZ,43.85,Call,44.0,2020-04-17,63.0,1.75,1.77,1.79,1.79,2518.0,1210.0,2.08,24.67,15:02
2020-02-14,NUGT,30.5,Call,30.5,2020-02-21,7.0,0.98,0.99,1.0,0.98,595.0,290.0,2.05,61.46,16:00
2020-02-14,GLD,148.99,Put,144.0,2020-09-30,229.0,2.67,2.7,2.72,2.7,739.0,363.0,2.04,11.86,15:30
2020-02-14,XLU,70.28,Put,69.5,2020-02-21,7.0,0.1,0.11,0.12,0.11,1436.0,716.0,2.01,9.8,14:20
2020-02-14,IYR,100.06,Call,100.0,2020-02-21,7.0,0.64,0.66,0.67,0.64,1115.0,561.0,1.99,9.56,16:07
2020-02-14,TLT,144.5,Call,147.0,2020-03-27,42.0,1.27,1.29,1.31,1.46,510.0,257.0,1.98,12.03,11:12
2020-02-14,SPY,337.14,Call,354.0,2020-06-19,126.0,2.74,2.75,2.75,2.66,1511.0,770.0,1.96,9.66,14:03
2020-02-14,SPY,337.14,Put,310.0,2020-07-17,154.0,5.04,5.06,5.08,5.17,1866.0,960.0,1.94,18.99,15:50
2020-02-14,UVXY,10.76,Call,11.0,2020-03-06,21.0,0.99,1.0,1.0,0.99,2581.0,1360.0,1.9,105.48,15:50
2020-02-14,TQQQ,114.0,Put,114.0,2020-02-14,0.0,0.12,0.13,0.13,0.12,667.0,358.0,1.86,0.0,16:08
2020-02-14,SPY,337.14,Put,339.0,2020-02-14,0.0,1.65,1.68,1.71,1.58,5770.0,3123.0,1.85,0.0,16:06
2020-02-14,XLU,70.28,Put,68.0,2020-03-06,21.0,0.09,0.1,0.11,0.11,2046.0,1136.0,1.8,11.76,15:19
2020-02-14,XLV,103.83,Put,102.33,2020-03-20,35.0,1.13,1.14,1.15,1.22,883.0,495.0,1.78,15.22,12:04
2020-02-14,GLD,148.99,Call,149.0,2020-05-15,91.0,3.45,3.48,3.5,3.5,505.0,286.0,1.77,10.5,15:32
2020-02-14,GLD,148.99,Put,149.0,2020-02-28,14.0,1.1,1.11,1.11,1.07,630.0,356.0,1.77,9.65,14:37
2020-02-14,DIA,294.07,Call,294.0,2020-02-14,0.0,0.23,0.26,0.28,0.15,686.0,393.0,1.75,0.0,15:47
2020-02-14,XLE,54.48,Put,53.71,2020-04-17,63.0,1.56,1.57,1.58,1.58,859.0,495.0,1.74,22.4,15:59
2020-02-14,SPY,337.14,Put,337.0,2020-02-19,5.0,1.14,1.15,1.16,1.12,5998.0,3473.0,1.73,8.14,16:07
2020-02-14,SPY,337.14,Call,337.0,2020-02-18,4.0,1.22,1.23,1.24,1.27,14936.0,8649.0,1.73,7.85,16:07
2020-02-14,XLV,103.83,Put,103.5,2020-02-21,7.0,0.49,0.51,0.52,0.63,700.0,410.0,1.71,13.63,13:50
2020-02-14,SPY,337.14,Call,336.0,2020-02-18,4.0,1.89,1.91,1.93,1.97,5002.0,2971.0,1.68,8.53,16:07
2020-02-14,GLD,148.99,Put,149.0,2020-04-17,63.0,2.39,2.4,2.41,2.45,534.0,320.0,1.67,10.96,10:53
2020-02-14,EEM,44.2,Put,44.0,2020-03-06,21.0,0.61,0.62,0.62,0.54,5013.0,3033.0,1.65,15.3,11:15
2020-02-14,OIH,11.22,Call,11.5,2020-02-28,14.0,0.15,0.16,0.16,0.14,567.0,351.0,1.62,28.91,15:10
2020-02-14,SPY,337.14,Put,343.0,2020-02-21,7.0,5.67,5.73,5.8,5.64,2596.0,1627.0,1.6,5.63,16:06
2020-02-14,FXI,42.3,Put,40.0,2020-03-13,28.0,0.26,0.27,0.28,0.27,644.0,408.0,1.58,23.33,13:04
2020-02-14,USO,10.94,Put,10.5,2020-02-28,14.0,0.1,0.11,0.11,0.11,4354.0,2757.0,1.58,33.66,15:19
2020-02-14,SPY,337.14,Put,337.5,2020-02-21,7.0,1.77,1.78,1.79,1.75,7107.0,4489.0,1.58,9.05,16:07
2020-02-14,SPY,337.14,Put,337.0,2020-02-24,10.0,1.8,1.81,1.82,1.84,1046.0,668.0,1.57,9.2,16:05
2020-02-14,XLU,70.28,Call,70.0,2020-06-19,126.0,2.08,2.09,2.11,2.09,3606.0,2290.0,1.57,10.32,15:57
2020-02-14,XOP,18.74,Call,19.5,2020-02-28,14.0,0.17,0.18,0.18,0.16,12929.0,8316.0,1.55,28.89,15:34
2020-02-14,GLD,148.99,Put,148.5,2020-02-21,7.0,0.53,0.54,0.54,0.54,1643.0,1076.0,1.53,9.54,15:47
2020-02-14,QQQ,234.18,Put,228.5,2020-02-21,7.0,0.43,0.44,0.44,0.43,2495.0,1633.0,1.53,17.41,16:01
2020-02-14,TQQQ,114.0,Call,114.0,2020-02-14,0.0,0.46,0.5,0.53,0.52,1775.0,1180.0,1.5,0.0,16:10
2020-02-14,SPY,337.14,Put,336.0,2020-02-19,5.0,0.82,0.83,0.83,0.81,5184.0,3543.0,1.46,8.75,16:07
2020-02-14,QQQ,234.18,Put,202.0,2020-03-31,46.0,0.57,0.58,0.58,0.57,501.0,346.0,1.45,27.57,10:19
2020-02-14,SPY,337.14,Put,345.0,2020-02-21,7.0,7.52,7.68,7.84,8.09,2079.0,1435.0,1.45,14.59,15:26
2020-02-14,VXX,13.58,Call,14.0,2020-02-28,14.0,0.52,0.53,0.53,0.54,3486.0,2411.0,1.45,67.06,15:54
2020-02-14,QQQ,234.18,Call,242.0,2020-03-13,28.0,0.92,0.93,0.94,0.95,539.0,374.0,1.44,13.18,14:50
2020-02-14,QQQ,234.18,Put,232.0,2020-02-21,7.0,1.02,1.03,1.03,1.01,7176.0,4991.0,1.44,15.13,16:03
2020-02-14,QQQ,234.18,Put,207.0,2020-03-20,35.0,0.5,0.51,0.51,0.51,5310.0,3733.0,1.42,26.68,10:19
2020-02-14,QQQ,234.18,Put,233.0,2020-02-28,14.0,2.13,2.15,2.16,2.16,989.0,726.0,1.36,15.36,16:01
2020-02-14,SPY,337.14,Put,338.0,2020-02-14,0.0,0.59,0.65,0.7,0.6,15004.0,11061.0,1.36,0.0,16:06
2020-02-14,TQQQ,114.0,Call,114.0,2020-02-21,7.0,2.68,2.69,2.7,2.75,1201.0,906.0,1.33,43.07,16:10
2020-02-14,GDX,28.3,Call,37.0,2021-01-15,336.0,0.8,0.81,0.82,0.82,501.0,386.0,1.3,28.02,14:44
2020-02-14,QQQ,234.18,Put,227.0,2020-03-13,28.0,1.91,1.92,1.93,1.96,1153.0,890.0,1.3,18.98,14:49
2020-02-14,XOP,18.74,Call,19.0,2020-02-21,7.0,0.19,0.2,0.21,0.21,4380.0,3388.0,1.29,30.37,16:00
2020-02-14,XLK,101.74,Put,101.0,2020-03-20,35.0,1.8,1.81,1.81,1.81,920.0,725.0,1.27,17.63,15:58
2020-02-14,XBI,97.12,Put,95.0,2020-03-20,35.0,2.25,2.26,2.28,2.25,4046.0,3192.0,1.27,27.57,15:58
2020-02-14,SPY,337.14,Put,307.0,2020-07-17,154.0,4.61,4.63,4.64,4.78,1052.0,835.0,1.26,19.5,14:48
2020-02-14,SPY,337.14,Call,344.0,2020-03-06,21.0,0.84,0.85,0.86,0.82,830.0,663.0,1.25,9.14,16:03
