Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
HTZ,11.45,Put,8.00,07/17/20,135,0.60,0.68,0.75,0.70,6065,116,52.28,85.85%,03/04/20
CLF,5.72,Call,5.00,05/15/20,72,1.03,1.04,1.05,1.04,7008,165,42.47,63.73%,03/04/20
MGM,23.3,Put,24.00,04/17/20,44,2.41,2.43,2.45,2.45,20277,593,34.19,64.56%,03/04/20
JNJ,143.48,Put,137.00,03/06/20,2,0.20,0.29,0.38,0.42,4235,132,32.08,57.53%,03/04/20
HAL,15.39,Call,16.00,03/20/20,16,0.41,0.44,0.46,0.40,5589,203,27.53,50.10%,03/04/20
T,38,Put,28.00,04/17/20,44,0.11,0.13,0.14,0.12,5050,204,24.75,53.86%,03/04/20
TEVA,11.37,Call,10.00,09/18/20,198,2.60,2.69,2.77,2.73,10120,411,24.62,61.78%,03/04/20
SNAP,13.63,Call,13.50,03/06/20,2,0.35,0.37,0.39,0.35,20237,853,23.72,69.78%,03/04/20
SNAP,13.63,Call,13.50,03/13/20,9,0.59,0.61,0.63,0.61,7946,350,22.7,63.53%,03/04/20
AMBA,55.18,Call,60.00,03/06/20,2,0.20,0.25,0.30,0.25,2757,153,18.02,97.14%,03/04/20
BHC,23.13,Put,22.50,03/20/20,16,0.68,0.82,0.96,0.70,2774,166,16.71,51.99%,03/04/20
BHP,45.78,Put,45.00,04/17/20,44,2.23,2.36,2.49,2.56,2232,138,16.17,47.42%,03/04/20
WFC,41.4,Call,50.00,06/18/21,471,1.05,1.73,2.42,1.15,1660,119,13.95,18.55%,03/04/20
TLRY,12.51,Call,13.00,03/06/20,2,0.20,0.35,0.50,0.23,3835,276,13.89,114.49%,03/04/20
FCAU,12.38,Call,13.00,04/17/20,44,0.35,0.4,0.45,0.45,3290,238,13.82,40.34%,03/04/20
PFE,36.4,Call,37.50,03/20/20,16,0.35,0.38,0.40,0.38,2967,228,13.01,26.10%,03/04/20
TCOM,30.55,Call,31.00,03/20/20,16,1.20,1.38,1.55,1.25,2209,171,12.92,56.61%,03/04/20
INO,8.02,Put,8.00,03/20/20,16,2.05,2.15,2.25,2.20,1422,116,12.26,337.79%,03/04/20
CVS,66.04,Put,57.50,03/20/20,16,0.26,0.29,0.32,0.34,2103,176,11.95,52.91%,03/04/20
MS,45.24,Call,47.50,03/20/20,16,0.40,0.45,0.50,0.48,3244,285,11.38,33.62%,03/04/20
KR,30.96,Call,35.00,04/17/20,44,0.18,0.2,0.22,0.21,2734,244,11.2,30.04%,03/04/20
BKD,5.68,Put,5.00,03/20/20,16,0.10,0.13,0.15,0.15,1094,105,10.42,90.62%,03/04/20
AMD,50.11,Call,60.00,10/16/20,226,5.05,5.2,5.35,5.25,3367,324,10.39,53.76%,03/04/20
CSX,72,Call,72.50,03/06/20,2,0.55,0.68,0.81,0.72,1033,103,10.03,44.36%,03/04/20
SBUX,79.67,Put,60.00,07/17/20,135,1.05,1.14,1.23,1.20,6201,643,9.64,42.88%,03/04/20
JBLU,15.54,Call,17.00,04/17/20,44,0.65,0.73,0.80,0.70,2158,230,9.38,57.41%,03/04/20
UNH,289.42,Call,300.00,03/06/20,2,0.69,0.78,0.87,0.79,9661,1030,9.38,46.66%,03/04/20
