Date Inserted,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
2020-03-06,PBR,10.52,Call,10.0,2020-04-17,42.0,1.14,1.31,1.47,1.3,19536.0,523.0,37.35,73.03,00:00
2020-03-06,FRO,7.04,Call,8.0,2020-04-17,42.0,0.4,0.45,0.5,0.45,4246.0,150.0,28.31,83.04,00:00
2020-03-06,FSLY,18.99,Put,23.0,2021-01-15,315.0,7.4,7.6,7.8,7.8,7274.0,318.0,22.87,75.71,00:00
2020-03-06,AMD,48.59,Put,26.0,2020-05-15,70.0,0.48,0.5,0.51,0.49,6219.0,285.0,21.82,98.57,00:00
2020-03-06,TECD,140.51,Put,140.0,2020-03-20,14.0,1.1,1.2,1.3,1.1,4128.0,196.0,21.06,12.5,00:00
2020-03-06,NBL,13.32,Call,25.0,2020-08-21,168.0,0.15,0.22,0.3,0.2,3040.0,145.0,20.97,60.1,00:00
2020-03-06,AZN,47.52,Put,46.0,2020-03-20,14.0,0.9,0.98,1.05,0.95,4408.0,254.0,17.35,43.95,00:00
2020-03-06,BABA,204.64,Put,202.5,2020-04-03,28.0,7.8,8.73,9.65,10.0,2590.0,161.0,16.09,49.54,00:00
2020-03-06,OPK,2.32,Call,3.0,2020-03-13,7.0,0.2,0.23,0.25,0.25,18153.0,1143.0,15.88,359.98,00:00
2020-03-06,GE,9.4,Put,5.0,2020-08-21,168.0,0.19,0.22,0.24,0.21,2042.0,132.0,15.47,79.52,00:00
2020-03-06,ERI,33.65,Put,25.0,2020-06-19,105.0,3.4,3.75,4.1,3.9,1665.0,113.0,14.73,122.3,00:00
2020-03-06,AAL,15.97,Put,11.0,2020-03-20,14.0,0.38,0.42,0.45,0.39,7260.0,504.0,14.4,187.73,00:00
2020-03-06,GE,9.4,Put,6.0,2020-08-21,168.0,0.19,0.31,0.42,0.37,1338.0,119.0,11.24,74.27,00:00
2020-03-06,UBER,31.68,Put,25.0,2020-04-17,42.0,1.03,1.05,1.06,1.03,2629.0,234.0,11.24,88.88,00:00
2020-03-06,INO,14.09,Call,15.0,2020-03-20,14.0,3.2,3.35,3.5,3.3,5578.0,499.0,11.18,334.66,00:00
2020-03-06,ENDP,4.6,Call,5.0,2020-03-20,14.0,0.5,0.53,0.55,0.45,1694.0,159.0,10.65,168.59,00:00
2020-03-06,DTE,116.12,Call,130.0,2020-07-17,133.0,2.15,2.63,3.1,2.8,1651.0,156.0,10.58,26.05,00:00
2020-03-06,GSK,42.38,Put,41.0,2020-03-20,14.0,0.5,0.98,1.45,0.5,2074.0,199.0,10.42,32.42,00:00
2020-03-06,GE,9.4,Put,6.0,2020-09-18,196.0,0.28,0.36,0.43,0.3,1000.0,100.0,10.0,63.75,00:00
