Date Inserted,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
2020-02-19,SPY,338.34,Put,339.0,2020-02-19,0.0,0.61,0.64,0.66,0.53,41757.0,2167.0,19.27,0.0,00:00
2020-02-19,EWY,61.07,Put,60.0,2020-02-28,9.0,0.4,0.43,0.46,0.47,1955.0,103.0,18.98,24.19,00:00
2020-02-19,GDXJ,44.04,Put,40.0,2020-08-21,184.0,1.74,1.78,1.82,1.81,2988.0,183.0,16.33,30.52,00:00
2020-02-19,QQQ,236.98,Put,237.0,2020-02-28,9.0,2.11,2.13,2.15,2.08,1755.0,109.0,16.1,14.34,00:00
2020-02-19,QQQ,236.98,Call,248.0,2020-05-15,86.0,2.74,2.77,2.79,2.73,5054.0,316.0,15.99,13.88,00:00
2020-02-19,XOP,19.13,Call,21.0,2020-10-16,240.0,1.12,1.17,1.22,1.09,6714.0,484.0,13.87,27.6,00:00
2020-02-19,QQQ,236.98,Put,237.0,2020-02-21,2.0,1.01,1.03,1.05,1.0,6642.0,596.0,11.14,14.33,00:00
2020-02-19,GDX,29.75,Call,34.5,2020-05-15,86.0,0.31,0.32,0.33,0.32,4883.0,505.0,9.67,27.86,00:00
2020-02-19,QQQ,236.98,Put,239.0,2020-02-21,2.0,2.2,2.26,2.31,2.32,1108.0,125.0,8.86,14.67,00:00
2020-02-19,SMH,152.25,Put,149.0,2020-02-21,2.0,0.2,0.22,0.23,0.27,1018.0,127.0,8.02,29.22,00:00
2020-02-19,SPY,338.34,Put,314.0,2020-09-18,212.0,7.73,7.77,7.8,7.78,2671.0,376.0,7.1,18.79,00:00
2020-02-19,GDX,29.75,Call,31.0,2020-03-06,16.0,0.22,0.24,0.25,0.23,1661.0,241.0,6.89,26.49,00:00
2020-02-19,SPY,338.34,Put,311.0,2020-09-18,212.0,7.19,7.23,7.26,7.24,1074.0,166.0,6.47,19.18,00:00
2020-02-19,EEM,44.23,Call,41.0,2020-09-18,212.0,4.35,4.55,4.75,4.55,1069.0,167.0,6.4,17.27,00:00
2020-02-19,GDX,29.75,Call,34.0,2020-04-17,58.0,0.2,0.21,0.21,0.2,1779.0,288.0,6.18,27.52,00:00
2020-02-19,SPY,338.34,Put,315.0,2020-09-30,224.0,8.3,8.34,8.38,8.4,655.0,109.0,6.01,18.73,00:00
2020-02-19,SPY,338.34,Put,338.0,2020-03-27,37.0,5.09,5.12,5.15,5.13,1067.0,181.0,5.9,13.12,00:00
2020-02-19,SPY,338.34,Call,349.0,2020-03-27,37.0,0.69,0.7,0.71,0.75,797.0,138.0,5.78,8.8,00:00
2020-02-19,SLV,17.23,Call,21.0,2020-07-17,149.0,0.2,0.21,0.21,0.19,6000.0,1069.0,5.61,25.67,00:00
2020-02-19,QQQ,236.98,Put,238.0,2020-02-28,9.0,2.56,2.59,2.61,2.65,1151.0,207.0,5.56,14.58,00:00
2020-02-19,SPY,338.34,Call,351.0,2020-09-18,212.0,7.14,7.18,7.21,7.31,1202.0,217.0,5.54,10.64,00:00
2020-02-19,QQQ,236.98,Put,237.5,2020-02-21,2.0,1.24,1.28,1.32,1.25,679.0,125.0,5.43,14.04,00:00
2020-02-19,EWJ,57.48,Call,59.0,2020-03-20,30.0,0.26,0.28,0.29,0.28,3601.0,682.0,5.28,11.98,00:00
2020-02-19,SPY,338.34,Put,334.0,2020-02-24,5.0,0.33,0.34,0.35,0.32,11738.0,2233.0,5.26,10.74,00:00
2020-02-19,QQQ,236.98,Call,280.0,2021-01-15,331.0,1.62,1.67,1.71,1.69,1487.0,297.0,5.01,12.83,00:00
2020-02-19,SPY,338.34,Put,337.0,2020-02-24,5.0,0.81,0.83,0.85,0.82,12368.0,2477.0,4.99,9.03,00:00
2020-02-19,SPY,338.34,Call,342.0,2020-03-23,33.0,2.6,2.63,2.65,2.66,565.0,115.0,4.91,9.8,00:00
2020-02-19,TQQQ,118.06,Call,124.0,2020-02-28,9.0,0.95,0.98,1.0,1.01,674.0,138.0,4.88,40.95,00:00
2020-02-19,SOXX,268.7,Put,250.0,2020-03-20,30.0,2.05,2.13,2.2,2.1,526.0,109.0,4.83,28.44,00:00
2020-02-19,SPY,338.34,Put,314.0,2020-10-16,240.0,8.61,8.68,8.75,8.62,738.0,161.0,4.58,18.78,00:00
2020-02-19,GLD,151.79,Call,154.5,2020-03-13,23.0,1.04,1.05,1.05,0.94,592.0,130.0,4.55,12.68,00:00
2020-02-19,IWM,168.4,Put,169.0,2020-05-15,86.0,4.92,4.95,4.98,4.8,584.0,129.0,4.53,15.03,00:00
2020-02-19,QQQ,236.98,Put,235.5,2020-02-21,2.0,0.5,0.52,0.53,0.5,3689.0,831.0,4.44,15.65,00:00
2020-02-19,XLE,54.85,Put,49.21,2020-04-17,58.0,0.0,0.18,0.36,0.32,767.0,177.0,4.33,24.54,00:00
2020-02-19,SPY,338.34,Put,315.0,2020-09-18,212.0,7.92,7.96,7.99,7.98,2677.0,619.0,4.32,18.67,00:00
2020-02-19,TQQQ,118.06,Put,116.0,2020-02-21,2.0,0.83,0.9,0.96,0.9,558.0,131.0,4.26,50.47,00:00
2020-02-19,SPY,338.34,Put,341.0,2020-02-24,5.0,2.86,2.9,2.93,2.84,996.0,250.0,3.98,7.05,00:00
2020-02-19,QQQ,236.98,Put,236.5,2020-02-21,2.0,0.81,0.83,0.84,0.81,3203.0,805.0,3.98,14.93,00:00
2020-02-19,TQQQ,118.06,Put,118.0,2020-02-21,2.0,1.55,1.61,1.67,1.58,599.0,159.0,3.77,46.37,00:00
2020-02-19,GLD,151.79,Put,151.0,2020-02-21,2.0,0.32,0.33,0.34,0.34,2928.0,807.0,3.63,14.92,00:00
2020-02-19,SPY,338.34,Call,338.0,2020-07-17,149.0,11.5,11.54,11.58,11.57,1098.0,304.0,3.61,11.58,00:00
2020-02-19,GDX,29.75,Put,29.0,2020-02-28,9.0,0.15,0.16,0.17,0.17,4586.0,1271.0,3.61,24.64,00:00
2020-02-19,SPY,338.34,Put,340.0,2020-02-19,0.0,1.61,1.64,1.66,1.47,4424.0,1278.0,3.46,0.0,00:00
2020-02-19,EWJ,57.48,Put,57.0,2020-03-20,30.0,0.59,0.61,0.62,0.62,5169.0,1501.0,3.44,13.41,00:00
2020-02-19,QQQ,236.98,Put,236.0,2020-02-21,2.0,0.65,0.67,0.68,0.62,4593.0,1363.0,3.37,14.99,00:00
2020-02-19,SPY,338.34,Put,338.0,2020-02-21,2.0,0.84,0.85,0.86,0.8,32170.0,9631.0,3.34,9.78,00:00
2020-02-19,NUGT,35.29,Put,34.0,2020-02-21,2.0,0.36,0.38,0.39,0.4,1006.0,302.0,3.33,88.32,00:00
2020-02-19,GLD,151.79,Put,149.0,2020-03-06,16.0,0.48,0.49,0.5,0.51,1752.0,539.0,3.25,12.37,00:00
2020-02-19,QQQ,236.98,Call,239.0,2020-02-21,2.0,0.38,0.4,0.41,0.41,8959.0,2845.0,3.15,16.22,00:00
2020-02-19,TQQQ,118.06,Put,117.0,2020-02-21,2.0,1.13,1.19,1.25,1.21,669.0,213.0,3.14,48.77,00:00
2020-02-19,SPY,338.34,Put,310.0,2020-10-16,240.0,7.85,7.92,7.98,7.9,1098.0,356.0,3.08,19.31,00:00
2020-02-19,VWO,43.98,Put,44.0,2020-03-20,30.0,0.7,0.77,0.85,0.85,501.0,166.0,3.02,17.43,00:00
2020-02-19,GLD,151.79,Put,149.5,2020-03-06,16.0,0.61,0.62,0.62,0.63,782.0,261.0,3.0,12.32,00:00
2020-02-19,SPY,338.34,Put,313.0,2020-09-18,212.0,7.54,7.58,7.61,7.61,2832.0,955.0,2.97,18.94,00:00
2020-02-19,GDX,29.75,Call,31.0,2020-07-17,149.0,1.5,1.56,1.62,1.47,1103.0,374.0,2.95,25.03,00:00
2020-02-19,QQQ,236.98,Put,235.0,2020-02-28,9.0,1.41,1.42,1.44,1.41,2564.0,882.0,2.91,15.62,00:00
2020-02-19,SPY,338.34,Call,329.0,2020-03-27,37.0,11.99,12.03,12.07,12.33,638.0,220.0,2.9,14.3,00:00
2020-02-19,SPY,338.34,Put,338.0,2020-02-26,7.0,1.53,1.55,1.56,1.47,3141.0,1088.0,2.89,9.07,00:00
2020-02-19,GLD,151.79,Put,151.5,2020-02-21,2.0,0.51,0.52,0.53,0.52,724.0,251.0,2.88,14.79,00:00
2020-02-19,QQQ,236.98,Put,236.0,2020-03-06,16.0,2.67,2.69,2.71,2.72,808.0,286.0,2.83,16.61,00:00
2020-02-19,SPY,338.34,Put,307.0,2020-09-30,224.0,6.86,6.9,6.93,6.87,832.0,294.0,2.83,19.62,00:00
2020-02-19,XLE,54.85,Call,55.5,2020-02-21,2.0,0.07,0.11,0.14,0.12,5185.0,1892.0,2.74,21.62,00:00
2020-02-19,SPY,338.34,Put,337.0,2020-04-03,44.0,5.19,5.23,5.26,5.18,905.0,332.0,2.73,13.27,00:00
2020-02-19,QQQ,236.98,Put,237.0,2020-03-20,30.0,4.18,4.21,4.23,4.19,2242.0,821.0,2.73,16.15,00:00
2020-02-19,SMH,152.25,Call,151.0,2020-02-21,2.0,1.87,1.91,1.94,1.92,1046.0,385.0,2.72,26.36,00:00
2020-02-19,DIA,294.1,Put,277.0,2020-03-20,30.0,1.03,1.11,1.19,1.04,721.0,266.0,2.71,19.21,00:00
2020-02-19,SPY,338.34,Put,337.0,2020-03-27,37.0,4.73,4.76,4.78,4.72,1073.0,399.0,2.69,13.25,00:00
2020-02-19,XHB,48.92,Call,49.0,2020-03-20,30.0,0.83,0.87,0.91,1.0,573.0,216.0,2.65,17.87,00:00
2020-02-19,OILU,13.91,Call,15.0,2020-03-20,30.0,0.9,0.98,1.05,1.05,968.0,379.0,2.55,92.56,00:00
2020-02-19,SPY,338.34,Call,338.0,2020-02-19,0.0,0.34,0.37,0.39,0.42,22321.0,8897.0,2.51,0.0,00:00
2020-02-19,SPY,338.34,Call,366.0,2020-05-15,86.0,0.33,0.34,0.35,0.37,501.0,203.0,2.47,9.47,00:00
2020-02-19,VIXY,11.15,Call,11.0,2020-02-21,2.0,0.2,0.28,0.35,0.3,3098.0,1259.0,2.46,66.06,00:00
2020-02-19,SPY,338.34,Put,336.0,2020-02-26,7.0,0.96,0.97,0.98,0.95,2300.0,942.0,2.44,10.42,00:00
2020-02-19,QQQ,236.98,Put,227.0,2020-05-15,86.0,4.39,4.42,4.44,4.43,579.0,242.0,2.39,19.83,00:00
2020-02-19,SPY,338.34,Put,295.0,2020-03-09,19.0,0.11,0.11,0.12,0.11,500.0,212.0,2.36,28.01,00:00
2020-02-19,SPY,338.34,Put,344.0,2020-03-04,14.0,6.03,6.12,6.21,6.03,1975.0,839.0,2.35,9.16,00:00
2020-02-19,SPY,338.34,Put,338.0,2020-02-24,5.0,1.13,1.15,1.17,1.09,4342.0,1845.0,2.35,8.2,00:00
2020-02-19,IWM,168.4,Call,170.0,2020-03-27,37.0,2.17,2.19,2.2,2.23,1674.0,728.0,2.3,13.1,00:00
2020-02-19,GLD,151.79,Call,151.0,2020-04-17,58.0,3.4,3.43,3.45,3.4,1122.0,496.0,2.26,11.3,00:00
2020-02-19,SPY,338.34,Put,275.0,2020-07-17,149.0,1.71,1.73,1.75,1.74,1660.0,740.0,2.24,24.19,00:00
2020-02-19,QQQ,236.98,Call,237.0,2020-02-21,2.0,1.15,1.17,1.2,1.18,15020.0,6706.0,2.24,16.82,00:00
2020-02-19,QQQ,236.98,Put,196.0,2020-09-18,212.0,2.93,2.95,2.97,2.96,981.0,441.0,2.22,24.8,00:00
2020-02-19,USO,11.18,Call,9.0,2020-04-17,58.0,2.24,2.25,2.26,2.25,1561.0,703.0,2.22,36.48,00:00
2020-02-19,USO,11.18,Call,11.5,2020-03-27,37.0,0.29,0.3,0.3,0.3,603.0,275.0,2.19,30.05,00:00
2020-02-19,SPY,338.34,Call,341.0,2020-09-18,212.0,12.42,12.47,12.52,12.68,1253.0,574.0,2.18,11.71,00:00
2020-02-19,USO,11.18,Put,10.5,2020-07-17,149.0,0.51,0.52,0.53,0.53,6671.0,3079.0,2.17,31.28,00:00
2020-02-19,ERX,13.02,Call,13.0,2020-03-20,30.0,0.8,0.88,0.95,0.9,740.0,352.0,2.1,59.2,00:00
2020-02-19,GLD,151.79,Call,153.0,2020-02-28,9.0,0.82,0.83,0.84,0.83,1820.0,867.0,2.1,13.83,00:00
2020-02-19,SPY,338.34,Put,338.0,2020-02-28,9.0,1.88,1.9,1.91,1.88,5354.0,2604.0,2.06,10.03,00:00
2020-02-19,QQQ,236.98,Put,233.5,2020-02-21,2.0,0.18,0.19,0.2,0.2,6956.0,3418.0,2.04,17.8,00:00
2020-02-19,SPY,338.34,Put,340.0,2020-02-24,5.0,2.14,2.17,2.2,2.07,1830.0,917.0,2.0,7.05,00:00
