Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
CSCO,44.83,Call,48.50,06/12/20,21,0.18,0.2,0.21,0.18,25813,129,200.1,27.75%,"15:13 ET"
LB,14.89,Call,15.50,05/29/20,7,0.45,0.48,0.50,0.47,13455,139,96.8,93.35%,"15:06 ET"
ABT,91.03,Call,94.00,05/29/20,7,0.48,0.5,0.52,0.50,7076,111,63.75,30.26%,"15:04 ET"
FEYE,11.84,Call,12.50,06/19/20,28,0.59,0.6,0.60,0.59,6760,167,40.48,64.92%,"15:18 ET"
ROKU,108.76,Call,110.00,05/22/20,0,0.18,0.19,0.20,0.17,5952,154,38.65,0.00%,"15:04 ET"
CERS,5.78,Call,6.00,06/19/20,28,0.30,0.32,0.35,0.35,15205,416,36.55,66.90%,"15:10 ET"
NOK,3.85,Call,4.00,08/21/20,91,0.34,0.35,0.35,0.34,17622,501,35.17,52.61%,"15:07 ET"
HSBC,23.11,Put,23.00,07/17/20,56,1.30,1.32,1.33,1.32,9992,300,33.31,38.64%,"15:05 ET"
JD,49.83,Call,50.00,09/18/20,119,5.80,5.88,5.95,5.85,32227,1012,31.84,52.15%,"15:07 ET"
CHWY,42.42,Call,42.00,05/22/20,0,0.55,0.6,0.65,0.62,12532,405,30.94,0.00%,"15:09 ET"
LUV,28.9,Call,28.00,06/19/20,28,2.50,2.53,2.55,2.50,18649,629,29.65,63.37%,"15:09 ET"
BABA,200.09,Put,180.00,08/21/20,91,6.95,7.08,7.20,7.40,3025,112,27.01,41.73%,"14:39 ET"
DKNG,29.32,Put,40.00,06/19/20,28,11.40,11.55,11.70,11.50,3002,114,26.33,109.37%,"15:10 ET"
EBAY,43.33,Call,42.50,06/19/20,28,1.83,1.86,1.89,1.85,3097,118,26.25,29.00%,"14:50 ET"
OSTK,17.48,Call,18.00,05/29/20,7,0.95,0.98,1.00,1.00,6021,253,23.8,123.84%,"15:16 ET"
CGC,19.26,Put,16.00,05/29/20,7,0.20,0.22,0.24,0.22,4481,191,23.46,123.06%,"15:10 ET"
ROKU,108.76,Call,110.00,05/29/20,7,3.10,3.15,3.20,3.10,3653,164,22.27,61.90%,"15:02 ET"
T,29.82,Put,29.50,05/29/20,7,0.28,0.29,0.30,0.30,36447,1642,22.2,27.87%,"15:10 ET"
TSM,49.79,Put,51.00,05/22/20,0,1.20,1.28,1.35,1.27,3134,142,22.07,0.00%,"15:08 ET"
OVV,8.27,Put,6.00,06/19/20,28,0.20,0.25,0.30,0.25,11274,529,21.31,129.61%,"14:55 ET"
ABT,91.03,Call,91.50,05/29/20,7,1.25,1.31,1.36,1.32,3229,154,20.97,30.40%,"15:04 ET"
BMY,60.83,Put,60.00,06/05/20,14,0.84,0.89,0.93,0.90,4044,206,19.63,26.82%,"15:08 ET"
TLRY,10.52,Call,10.50,05/22/20,0,0.11,0.14,0.16,0.13,20306,1038,19.56,0.00%,"15:10 ET"
ROKU,108.76,Call,109.00,05/22/20,0,0.49,0.53,0.56,0.54,1994,102,19.55,0.00%,"15:04 ET"
MLCO,14.34,Call,15.00,07/17/20,56,1.15,1.17,1.20,1.15,6153,326,18.87,64.44%,"15:02 ET"
VNO,34.31,Put,30.00,09/18/20,119,2.70,2.8,2.90,2.80,5070,275,18.44,63.75%,"15:02 ET"
MA,295.56,Call,300.00,05/29/20,7,2.47,2.51,2.55,2.53,9921,540,18.37,27.22%,"15:12 ET"
CPRT,86.64,Call,85.00,07/17/20,56,5.70,5.9,6.10,6.00,1756,103,17.05,38.51%,"14:56 ET"
TLRY,10.52,Call,11.50,05/29/20,7,0.40,0.43,0.46,0.41,4429,263,16.84,141.17%,"15:10 ET"
TLRY,10.52,Call,10.50,06/05/20,14,0.88,0.93,0.98,0.90,2317,142,16.32,116.85%,"15:09 ET"
WYNN,78.46,Call,79.00,05/22/20,0,0.18,0.23,0.27,0.26,1675,104,16.11,0.00%,"15:15 ET"
ROKU,108.76,Put,114.00,06/12/20,21,9.65,9.85,10.05,9.78,1665,108,15.42,64.05%,"12:51 ET"
SIG,10.21,Call,12.00,06/19/20,28,0.70,0.75,0.80,0.73,16160,1083,14.92,120.64%,"15:06 ET"
OXY,14.04,Put,11.50,06/19/20,28,0.38,0.39,0.40,0.39,1562,105,14.88,91.78%,"15:03 ET"
TWLO,208.39,Call,205.00,05/22/20,0,3.95,4.1,4.25,3.90,10952,743,14.74,0.00%,"15:12 ET"
WORK,31.97,Call,30.50,06/05/20,14,3.00,3.1,3.20,3.10,3350,231,14.5,93.88%,"14:12 ET"
TPX,60.05,Call,70.00,06/19/20,28,0.70,0.83,0.95,0.85,2517,174,14.47,56.14%,"14:34 ET"
TSLA,828.9,Call,825.00,05/22/20,0,5.00,5.18,5.35,4.86,23109,1629,14.19,0.00%,"15:11 ET"
DVA,77.32,Put,65.00,01/15/21,238,4.50,4.85,5.20,5.10,2245,160,14.03,45.25%,"12:41 ET"
HPE,9.19,Call,9.50,05/29/20,7,0.10,0.12,0.14,0.13,3506,255,13.75,50.08%,"15:02 ET"
EXPE,78.32,Call,78.50,05/22/20,0,0.10,0.15,0.20,0.20,1621,120,13.51,0.00%,"15:15 ET"
TPX,60.05,Put,52.50,06/19/20,28,1.30,1.38,1.45,1.32,3192,237,13.47,64.55%,"14:40 ET"
HTZ,2.88,Call,2.00,05/29/20,7,1.10,1.2,1.30,1.15,2430,183,13.28,466.70%,"14:58 ET"
CHWY,42.42,Call,42.50,05/29/20,7,1.35,1.4,1.45,1.40,1361,104,13.09,59.63%,"15:10 ET"
UPLD,31.89,Call,40.00,10/16/20,147,1.70,1.83,1.95,1.95,1530,117,13.08,54.50%,"12:53 ET"
BMY,60.83,Call,62.00,06/12/20,21,0.96,0.99,1.01,0.96,1567,121,12.95,25.07%,"15:05 ET"
INTC,62.07,Put,54.00,06/19/20,28,0.34,0.35,0.35,0.35,3497,276,12.67,41.14%,"14:26 ET"
PAA,9.72,Put,8.00,08/21/20,91,0.70,0.75,0.80,0.75,1642,131,12.53,83.77%,"15:17 ET"
EQT,13.59,Call,20.00,01/15/21,238,1.35,1.43,1.50,1.45,12009,982,12.23,72.06%,"15:12 ET"
TIF,125.76,Put,110.00,01/15/21,238,4.50,6.2,7.90,5.00,2500,207,12.08,30.38%,"10:16 ET"
AMZN,2445.66,Call,2445.00,05/22/20,0,2.81,3.03,3.25,2.60,2915,242,12.05,0.00%,"15:06 ET"
BABA,200.09,Call,202.50,05/22/20,0,0.16,0.17,0.18,0.13,21740,1812,12,0.00%,"15:08 ET"
TPX,60.05,Call,60.00,06/19/20,28,3.90,4,4.10,4.30,3300,282,11.7,65.06%,"14:27 ET"
BJ,36.6,Put,35.00,06/19/20,28,1.15,1.2,1.25,1.20,6701,590,11.36,47.84%,"15:05 ET"
TAL,53.31,Call,65.00,08/21/20,91,1.15,1.23,1.30,1.23,9734,863,11.28,42.43%,"15:01 ET"
TSLA,828.9,Call,830.00,05/22/20,0,1.70,1.76,1.82,1.64,37476,3385,11.07,0.00%,"15:11 ET"
GOOG,1408.18,Put,1395.00,05/22/20,0,0.05,0.23,0.40,0.25,1430,130,11,0.00%,"14:58 ET"
XEC,26.53,Put,25.00,06/19/20,28,1.35,1.43,1.50,1.40,1503,138,10.89,73.10%,"10:47 ET"
TLRY,10.52,Put,9.50,05/29/20,7,0.62,0.64,0.65,0.64,1119,105,10.66,187.24%,"15:10 ET"
BAC,22.68,Put,18.00,07/17/20,56,0.40,0.41,0.41,0.41,7715,726,10.63,60.36%,"14:45 ET"
COUP,227.49,Call,225.00,05/22/20,0,1.35,1.8,2.25,2.40,1109,105,10.56,0.00%,"15:04 ET"
